UTC时间 | 工具名 | 搜索词
2026-08-15T10:03:13Z | builtin-WebSearch | biggest stock movers Friday August 14 2026 S&P 500
2026-08-15T10:03:13Z | builtin-WebSearch | stocks surge earnings beat guidance raised this week August 2026
2026-08-15T10:50:56Z | WebSearch-subagent | undervalued food beverage tobacco alcohol stocks 2026
2026-08-15T10:50:56Z | WebSearch-subagent | undervalued energy oil gas pipeline midstream stocks 2026
2026-08-15T10:51:04Z | WebSearch-subagent | undervalued consumer electronics household appliance luxury apparel stocks 2026
2026-08-15T10:51:05Z | WebSearch-subagent | undervalued insurance P&C life reinsurance broker stocks 2026
2026-08-15T10:51:19Z | WebSearch-subagent | natural gas pipeline LNG capacity expansion stocks 2026
2026-08-15T10:51:23Z | WebSearch-subagent | food beverage dividend aristocrats pricing power 2026
2026-08-15T10:51:38Z | WebSearch-subagent | specialty niche insurer high ROE 2026 combined ratio improvement
2026-08-15T10:51:46Z | WebSearch-subagent | undervalued household personal care beauty products stocks 2026
2026-08-15T10:51:49Z | WebSearch-subagent | luxury brand pricing power revenue growth 2026 stocks
2026-08-15T10:51:50Z | WebSearch-subagent | undervalued chemical metals mining specialty materials stocks 2026
2026-08-15T10:52:02Z | WebSearch-subagent | undervalued software SaaS enterprise cloud cybersecurity AI software stocks 2026
2026-08-15T10:52:15Z | WebSearch-subagent | consumer staples quality moat margin stability 2026 beauty emerging market growth
2026-08-15T10:52:18Z | WebSearch-subagent | lithium uranium copper miners production growth 2026
2026-08-15T10:52:25Z | WebSearch-subagent | undervalued restaurant hotel casino cruise travel stocks 2026
2026-08-15T10:52:38Z | WebSearch-subagent | restaurant same store sales growth stocks 2026
2026-08-15T10:52:41Z | WebSearch-subagent | SaaS net revenue retention 120% 2026 AI agent software ARR triple digit growth
2026-08-15T10:52:41Z | WebSearch-subagent | undervalued industrial machinery defense aerospace manufacturing stocks 2026
2026-08-15T10:52:43Z | WebSearch-subagent | undervalued medical device hospital health IT services stocks 2026
2026-08-15T10:53:01Z | WebSearch-subagent | undervalued tech hardware server storage networking equipment stocks 2026
2026-08-15T10:53:11Z | WebSearch-subagent | defense stocks record backlog order growth 2026
2026-08-15T10:53:11Z | WebSearch-subagent | medical device new product cycle FDA approvals 2026 hospital volume growth
2026-08-15T10:53:27Z | WebSearch-subagent | undervalued ecommerce grocery discount retail department store stocks 2026
2026-08-15T10:53:38Z | WebSearch-subagent | server storage networking AI demand revenue surge 2026 hardware margin expansion
2026-08-15T10:53:42Z | WebSearch-subagent | electrical equipment grid capex beneficiary stocks 2026
2026-08-15T10:53:42Z | WebSearch-subagent | undervalued pharma biotech drug manufacturing life science tools stocks 2026
