# search-log run 2026-08-20 (UTC time | tool | query)
03:51 | open-websearch(ddg) | biggest stock movers today August 19 2026
03:51 | open-websearch(ddg) | stocks surge earnings beat today August 19 2026
03:51 | open-websearch(ddg) | CBOE VIX index today level
03:51 | open-websearch(ddg) | S&P 500 percent above 200 day moving average
03:51 | open-websearch(ddg) | CNN fear greed index today
03:51 | open-websearch(ddg) | IPO market this week first day pops August 2026
03:58 | gnews | AI capex guidance 2026 hyperscaler raise
03:58 | gnews | AI infrastructure bottleneck shortage 2026
03:58 | gnews | CoWoS HBM supply shortage sold out
03:58 | gnews | TSMC monthly revenue July record
03:58 | gnews | IPP power purchase agreement data center
03:58 | gnews | AI ARR SaaS agentic software growth
03:58 | gnews | Copilot enterprise adoption AI software valuation
03:58 | gnews | Meta Google free cash flow capex squeeze
03:58 | gnews | bitcoin ETF flows weekly
03:58 | gnews | crypto fear greed index
03:58 | gnews | stablecoin regulation legislation crypto
04:03 | cnn-api | fear and greed index direct
04:03 | alternative.me | crypto fear greed index
04:03 | yahoo-api | GSPC/DJI/IXIC/MRNA/MRVL/EL quotes
04:03 | webfetch | CNBC 8-19 market live updates full text
04:03 | gnews | AI capex guidance 2026 hyperscaler raise (body via CNBC)
05:12 | gnews | undervalued energy oil gas pipeline midstream stocks 2026
05:12 | gnews | natural gas pipeline LNG capacity expansion stocks earnings
05:12 | gnews | undervalued chemical metals mining specialty materials stocks 2026
05:12 | gnews | lithium uranium copper miners production growth 2026
05:12 | gnews | undervalued industrial machinery defense aerospace manufacturing stocks 2026
05:12 | gnews | defense stocks record backlog order growth 2026
05:12 | gnews | electrical equipment grid capex beneficiary stocks 2026
05:12 | gnews | undervalued business services waste environmental stocks 2026
05:12 | gnews | staffing payroll stocks hiring recovery 2026
05:12 | gnews | undervalued airline railroad trucking logistics shipping stocks 2026
05:12 | gnews | shipping railroad stocks earnings recovery momentum 2026
05:12 | gnews | undervalued auto EV auto parts dealer stocks 2026
05:12 | gnews | auto supplier content per vehicle increase stocks 2026
05:12 | gnews | undervalued consumer electronics household appliance luxury apparel stocks 2026
05:12 | gnews | luxury brand pricing power revenue growth 2026
05:12 | gnews | undervalued restaurant hotel casino cruise travel stocks 2026
05:12 | gnews | cruise stocks earnings beat record bookings 2026
05:13 | gnews | undervalued ecommerce grocery discount retail stocks 2026
05:13 | gnews | off-price discount retail traffic growth stocks 2026
05:13 | gnews | undervalued telecom wireless tower stocks 2026
05:13 | gnews | telecom stocks FCF dividend 5G monetization 2026
05:13 | gnews | undervalued streaming media gaming advertising stocks 2026
05:13 | gnews | streaming gaming stocks subscriber growth profitability 2026
05:13 | gnews | undervalued grocery drug store food distribution stocks 2026
05:13 | gnews | food beverage dividend aristocrats pricing power 2026
05:13 | gnews | undervalued household personal care beauty products stocks 2026
05:13 | gnews | beauty personal care emerging market growth stocks 2026
05:13 | gnews | undervalued medical device hospital health IT services stocks 2026
05:13 | gnews | medical device new product cycle FDA approvals 2026
05:13 | gnews | undervalued pharma biotech life science tools stocks 2026
05:13 | gnews | biotech pipeline catalysts FDA approvals 2026
05:13 | gnews | undervalued bank regional bank money center stocks 2026
05:13 | gnews | regional bank merger acquisition targets 2026
05:13 | gnews | undervalued fintech payment asset manager exchange stocks 2026
05:13 | gnews | fintech transaction volume TPV growth 2026
05:14 | gnews | undervalued insurance P&C reinsurance broker stocks 2026
05:14 | gnews | specialty niche insurer high ROE 2026
05:14 | gnews | data center REIT FFO growth 2026
05:14 | gnews | utility data center power demand growth nuclear stocks 2026
05:14 | gnews | undervalued software SaaS enterprise cloud cybersecurity stocks 2026
05:14 | gnews | SaaS net revenue retention 120% AI agent ARR growth 2026
05:14 | gnews | undervalued tech hardware server storage networking stocks 2026
05:14 | gnews | server storage networking AI demand revenue surge 2026
05:14 | gnews | undervalued semiconductor foundry memory equipment stocks 2026
05:14 | gnews | HBM memory shortage beneficiary stocks 2026
05:14 | gnews | REIT dividend yield discount to NAV stocks 2026
05:14 | gnews | AI cloud GPU rental neocloud providers 2026
05:14 | gnews | neocloud contract backlog billion deal wins 2026
05:14 | gnews | custom AI ASIC accelerator design win stocks 2026
05:14 | gnews | 800G 1.6T optical module demand growth 2026
05:14 | gnews | AI cluster networking switch CPO stocks 2026
05:14 | gnews | HBM4 capacity sold out memory stocks 2026
05:14 | gnews | advanced packaging CoWoS capacity expansion suppliers 2026
05:15 | gnews | WFE wafer fab equipment spending record 2026
05:15 | gnews | ASML AMAT KLAC backlog book-to-bill 2026
05:15 | gnews | data center power gigawatt pipeline IPP stocks 2026
05:15 | gnews | nuclear SMR fuel uranium enrichment demand 2026
05:15 | gnews | transformer lead time shortage grid equipment stocks 2026
05:15 | gnews | electrification switchgear demand surge stocks 2026
05:15 | gnews | liquid cooling rack power density AI stocks 2026
05:15 | gnews | Vertiv earnings AI backlog growth 2026
